Schedule,Threads,Size,Chunk size,Time
guided,1,262144,8,0.0143553
guided,1,262144,16,0.0143005
guided,1,262144,32,0.014299
guided,1,262144,64,0.0143028
guided,2,262144,4,0.0073354
guided,2,262144,8,0.00721432
guided,2,262144,16,0.00724906
guided,2,262144,32,0.00721058
guided,2,262144,64,0.00738707
guided,3,262144,4,0.00512157
guided,3,262144,8,0.00484242
guided,3,262144,16,0.00484956
guided,3,262144,32,0.00483887
guided,3,262144,64,0.00493518
guided,4,262144,4,0.00406049
guided,4,262144,8,0.00407152
guided,4,262144,16,0.00394945
guided,4,262144,32,0.00400193
guided,4,262144,64,0.0039454
runtime,1,262144,0,0.0142574
runtime,2,262144,0,0.007264
runtime,3,262144,0,0.00539022
runtime,4,262144,0,0.00389578
static,1,524288,4,0.028602
static,1,524288,8,0.0289952
static,1,524288,16,0.0286499
static,1,524288,32,0.028669
static,1,524288,64,0.0286203
static,2,524288,4,0.0148049
static,2,524288,8,0.0148801
static,2,524288,16,0.0146729
static,2,524288,32,0.0146026
static,2,524288,64,0.0146405
static,3,524288,4,0.0104776
static,3,524288,8,0.0104549
static,3,524288,16,0.0101832
static,3,524288,32,0.010226
static,3,524288,64,0.00987807
static,4,524288,4,0.00852052
static,4,524288,8,0.00845643
static,4,524288,16,0.00851809
static,4,524288,32,0.00791388
static,4,524288,64,0.00843652
dynamic,1,524288,4,0.0312584
dynamic,1,524288,8,0.0298957
dynamic,1,524288,16,0.0292194
dynamic,1,524288,32,0.0318182
dynamic,1,524288,64,0.0311992
dynamic,2,524288,4,0.0263467
dynamic,2,524288,8,0.0220706
dynamic,2,524288,16,0.0208287
dynamic,2,524288,32,0.0182278
dynamic,2,524288,64,0.0172804
dynamic,3,524288,4,0.0251775
dynamic,3,524288,8,0.0195729
dynamic,3,524288,16,0.0168505
dynamic,3,524288,32,0.0140629
dynamic,3,524288,64,0.0119331
dynamic,4,524288,4,0.0254309
dynamic,4,524288,8,0.0189542
dynamic,4,524288,16,0.0131673
dynamic,4,524288,32,0.0101813
dynamic,4,524288,64,0.00844308
guided,1,524288,4,0.0295297
guided,1,524288,8,0.0300281
guided,1,524288,16,0.0297787
guided,1,524288,32,0.0310304
guided,1,524288,64,0.0290069
guided,2,524288,4,0.0147211
guided,2,524288,8,0.0150301
guided,2,524288,16,0.014638
guided,2,524288,32,0.0146104
guided,2,524288,64,0.0145936
guided,3,524288,4,0.0100161
guided,3,524288,8,0.0106339
guided,3,524288,16,0.0127044
guided,3,524288,32,0.010376
guided,3,524288,64,0.00986716
guided,4,524288,4,0.00793408
guided,4,524288,8,0.00840143
guided,4,524288,16,0.00846835
guided,4,524288,32,0.00820386
guided,4,524288,64,0.00833789
runtime,1,524288,0,0.0296118
runtime,2,524288,0,0.0151023
runtime,3,524288,0,0.0107718
runtime,4,524288,0,0.00861924
static,1,1048576,4,0.0599017
static,1,1048576,8,0.0586614
static,1,1048576,16,0.0577225
static,1,1048576,32,0.059351
static,1,1048576,64,0.0593413
static,2,1048576,4,0.0317071
static,2,1048576,8,0.0320624
static,2,1048576,16,0.0302895
static,2,1048576,32,0.0304418
static,2,1048576,64,0.0303178
static,3,1048576,4,0.0222004
static,3,1048576,8,0.0217436
static,3,1048576,16,0.021719
static,3,1048576,32,0.0215495
static,3,1048576,64,0.0213249
static,4,1048576,4,0.0179333
static,4,1048576,8,0.017016
static,4,1048576,16,0.0175713
static,4,1048576,32,0.0174054
static,4,1048576,64,0.0178506
dynamic,1,1048576,4,0.0648605
dynamic,1,1048576,8,0.05966
dynamic,1,1048576,16,0.0577884
dynamic,1,1048576,32,0.0571388
dynamic,1,1048576,64,0.0569085
